id,name,russian,url,kind,score,status,episodes,episodes_aired,aired_on,released_on
48316,Kage no Jitsuryokusha ni Naritakute!,Восхождение в тени!,/animes/48316-kage-no-jitsuryokusha-ni-naritakute,tv,8.23,released,20,20,2022-10-05,2023-02-15
43299,Wonder Egg Priority,Приоритет чудо-яйца,/animes/43299-wonder-egg-priority,tv,7.55,released,12,12,2021-01-13,2021-03-31
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Атака титанов: Финал — Заключительная глава,/animes/51535-shingeki-no-kyojin-the-final-season-kanketsu-hen,tv_special,8.86,released,2,1,2023-03-04,2023-11-05
41389,Tonikaku Kawaii,Унеси меня на Луну,/animes/41389-tonikaku-kawaii,tv,7.84,released,12,12,2020-10-03,2020-12-19
32542,Sakamoto desu ga?,"Я — Сакамото, а что?",/animes/z32542-sakamoto-desu-ga,tv,7.54,released,12,12,2016-04-08,2016-07-01
50172,Mob Psycho 100 III,Моб Психо 100 3,/animes/50172-mob-psycho-100-iii,tv,8.71,released,12,12,2022-10-06,2022-12-22
6,Trigun,Триган,/animes/6-trigun,tv,8.22,released,26,0,1998-04-01,1998-09-30
24415,Kuroko no Basket 3rd Season,Баскетбол Куроко 3,/animes/24415-kuroko-no-basket-3rd-season,tv,8.29,released,25,25,2015-01-11,2015-06-30
37982,Domestic na Kanojo,Домашняя подружка,/animes/37982-domestic-na-kanojo,tv,6.62,released,12,12,2019-01-12,2019-03-30
1210,NHK ni Youkoso!,Добро пожаловать в NHK,/animes/1210-nhk-ni-youkoso,tv,8.31,released,24,0,2006-07-10,2006-12-18
13125,Shinsekai yori,Из нового света,/animes/z13125-shinsekai-yori,tv,8.24,released,25,25,2012-09-29,2013-03-23
33506,Ao no Exorcist: Kyoto Fujouou-hen,Синий экзорцист: Нечестивый король Киото,/animes/z33506-ao-no-exorcist-kyoto-fujouou-hen,tv,7.34,released,12,12,2017-01-07,2017-03-25
49387,Vinland Saga Season 2,Сага о Винланде 2,/animes/49387-vinland-saga-season-2,tv,8.82,released,24,24,2023-01-10,2023-06-20
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Как и ожидалось, моя школьная романтическая жизнь не удалась 3",/animes/39547-yahari-ore-no-seishun-love-comedy-wa-machigatteiru-kan,tv,8.35,released,12,12,2020-07-10,2020-09-25
